epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.74,1.66176,3.2362,1.64467,0.01,0.71429,0.16945,0.09358,1.56284,2.93444,1.47218,4e-05,4e-05,4e-05
2,123.056,1.32906,3.08852,1.30713,0.014,1,0.50748,0.29834,1.2345,2.82795,1.14035,9.802e-05,9.802e-05,9.802e-05
3,175.377,1.17285,2.58592,1.13956,0.014,1,0.48209,0.26705,1.35051,2.74111,1.13055,0.000153664,0.000153664,0.000153664
4,229.451,1.10595,1.84849,1.12917,0.74944,0.28497,0.46837,0.23358,1.39425,2.57443,1.22705,0.000206932,0.000206932,0.000206932
5,285.591,1.01659,1.48526,1.04694,0.58155,0.42857,0.53651,0.30285,1.27817,2.25628,1.16442,0.000257824,0.000257824,0.000257824
6,341.723,1.02743,1.5974,1.13519,0.70032,0.44594,0.71325,0.43027,1.12182,2.17417,1.09181,0.00030634,0.00030634,0.00030634
7,399.166,1.00672,1.39999,1.06066,1,0.47815,0.78854,0.44222,1.05586,2.20255,1.08849,0.00035248,0.00035248,0.00035248
8,456.321,1.17751,1.25709,1.07253,0.96522,0.33333,0.74412,0.46677,1.00518,2.1871,1.05389,0.000396244,0.000396244,0.000396244
9,511.658,1.0614,1.29674,1.05654,0.87592,0.28571,0.65851,0.463,1.01343,2.24222,1.05794,0.000437632,0.000437632,0.000437632
10,563.73,0.90224,1.24067,1.03103,0.89523,0.28571,0.64286,0.4606,1.06899,2.25984,1.08455,0.000476644,0.000476644,0.000476644
11,615.205,1.09351,1.17372,1.09807,1,0.30099,0.74013,0.53296,1.1058,2.25256,1.10149,0.00051328,0.00051328,0.00051328
12,667.447,1.19924,1.21058,1.01359,1,0.35742,0.79138,0.57285,1.09658,2.17073,1.09653,0.00054754,0.00054754,0.00054754
13,719.943,0.8414,1.02203,0.97983,1,0.50773,0.79893,0.54572,1.20374,1.99312,1.10524,0.000579424,0.000579424,0.000579424
14,771.708,0.9301,1.34118,0.9928,1,0.51611,0.72514,0.52853,1.18471,1.93176,1.10153,0.000608932,0.000608932,0.000608932
15,824.065,1.0002,1.18164,1.10606,0.97956,0.61905,0.69596,0.51686,1.16992,1.88587,1.13532,0.000636064,0.000636064,0.000636064
16,875.359,1.15715,1.14033,1.04891,1,0.6127,0.81754,0.56212,1.13956,1.78306,1.10487,0.00066082,0.00066082,0.00066082
17,926.522,0.88821,1.08257,0.995,0.85852,0.57832,0.79381,0.52533,1.22707,1.76254,1.11079,0.0006832,0.0006832,0.0006832
18,978.241,0.91693,1.80205,1.09633,0.86477,0.61905,0.80759,0.55711,1.24181,1.71797,1.12218,0.000703204,0.000703204,0.000703204
19,1028.86,1.00358,1.02021,1.01287,0.83744,0.61905,0.7961,0.55267,1.23963,1.69637,1.18492,0.000720832,0.000720832,0.000720832
20,1080.32,1.17785,1.39389,1.10808,0.71938,0.61076,0.77448,0.51189,1.25887,1.70766,1.27566,0.000736084,0.000736084,0.000736084
21,1132.41,0.86383,0.98699,0.96157,0.67021,0.67781,0.75113,0.4979,1.24135,1.77954,1.30922,0.00074896,0.00074896,0.00074896
22,1183.33,0.88822,0.94383,0.97699,0.79421,0.73571,0.80188,0.55164,1.16695,1.7008,1.20763,0.00075946,0.00075946,0.00075946
23,1234.78,1.14835,1.04908,1.27853,0.9332,0.7619,0.81919,0.57586,1.09556,1.68496,1.11997,0.000767584,0.000767584,0.000767584
24,1290.47,0.91327,0.99552,0.9821,0.91727,0.7619,0.83045,0.59819,1.02203,1.64535,1.07497,0.000773332,0.000773332,0.000773332
25,1358.05,0.88119,1.43243,1.04974,0.86953,0.7619,0.79967,0.59031,0.99981,1.62872,1.08858,0.000776704,0.000776704,0.000776704
26,1418.04,0.798,0.91462,0.9676,0.79654,0.74625,0.76249,0.53059,1.12759,1.73241,1.16145,0.0007777,0.0007777,0.0007777
27,1477.83,1.00734,1.57467,1.16673,0.66174,0.66667,0.66903,0.42693,1.17343,1.83902,1.20153,0.00077632,0.00077632,0.00077632
28,1532.14,0.89049,1.0956,1.02924,0.56454,0.61905,0.6092,0.40797,1.19661,1.7849,1.22194,0.000772564,0.000772564,0.000772564
29,1583.18,0.79967,0.9626,1.00536,0.56454,0.61905,0.6092,0.40797,1.19661,1.7849,1.22194,0.000766432,0.000766432,0.000766432
30,1634.2,0.88248,1.00089,0.98964,0.66525,0.47335,0.60998,0.43034,1.17176,1.59706,1.18091,0.000757924,0.000757924,0.000757924
31,1685.3,0.7661,0.87711,0.94682,0.5014,0.66667,0.6414,0.44562,1.18839,1.47366,1.17979,0.00074704,0.00074704,0.00074704
